Parameter,Parameter Code
Cyclohexane,43248
Cyclohexene,43269
Cyclopenta[cd]pyrene (TSP) STP,17160
Cyclopentane,43242
"Cyclopentane & 2,3-dimethylbutane",43171
Cyclopentene,43283
Cyclopropane,43251
D-limonene,17907
DIMETHYL SULFIDE,43915
Dacthal,43156
Decachlorobiphenyl (TSP) STP,17818
Decanal,43521
Deciview,11208
Dew Point,62103
Di-n-butyl phthalate  (TSP) STP,16777
Di-n-octyl phthalate  (TSP) STP,16778
Diallate  (TSP) STP,16774
Dibenz(A-H)Anthracene PM10 STP,82151
"Dibenzo[a,h]anthracene (TSP) STP",17231
"Dibenzo[b,e][1,4]dioxin,2,3,7,8-tetrachloro (TSP) STP",17902
Dibenzofuran (TSP) STP,18202
Dibromochloromethane,43832
Dibromomethane,43805
Dichlorobiphenyl (TSP) STP,17810
Dichlorodifluoromethane,43823
Dichloroethyl ether,43352
Dichloromethane,43802
Dichlorophenol (TSP) STP,17805
Dichlorotetrafluoroethane,43852
Dieldrin,43165
Diethyl phthalate  (TSP) STP,16775
Diethylene glycol,43356
Dimethyl phthalate  (TSP) STP,16776
Dinoseb  (TSP) STP,16779
Diphenylamine  (TSP) STP,16780
Dodecanal,43522
Dodecene,43330
Dry deposition,65401
Dursban,43158
Dustfall Combustible (SP),25101
Dyed fabric #1,72301
Dyed fabric #2,72302
Dyed fabric #3,72303
Dyed fabric #4,72304
Dyed fabric #5,72305
Dyed fabric #6,72306
Dyed fabric #7,72307
Dyed fabric #8,72308
Dyed fabric #9,72309
EC CSN PM2.5 LC TOT,88307
EC CSN PM2.5 STP TOT,84307
EC CSN_Rev Unadjusted PM2.5 LC TOR,88380
EC CSN_Rev Unadjusted PM2.5 LC TOT,88357
EC CSN_rev Unadjusted PM10 LC TOR,85380
EC CSN_rev Unadjusted PM10 LC TOT,85357
EC CSN_rev Unadjusted PM10-2.5 LC TOR,86380
EC CSN_rev Unadjusted PM10-2.5 LC TOT,86357
EC PM2.5 LC TOR,88321
EC PM2.5 LC TOT,88381
EC1 CSN_Rev Unadjusted PM2.5 LC,88383
EC1 CSN_rev Unadjusted PM10 LC,85383
EC1 CSN_rev Unadjusted PM10-2.5 LC,86383
EC1 PM2.5 LC,88329
EC2 CSN_Rev Unadjusted PM2.5 LC,88384
EC2 CSN_rev Unadjusted PM10 LC,85384
EC2 CSN_rev Unadjusted PM10-2.5 LC,86384
EC2 PM2.5 LC,88330
EC3 CSN_Rev Unadjusted PM2.5 LC,88385
